epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.02842,1.98709,3.8986,1.45505,0.00415,0.13158,0.00236,0.00106,1.06993,5.02587,0.74086,0.00010002,0.00010002,0.00010002
2,16.8955,1.75855,3.6043,1.31455,0.02315,0.78947,0.02212,0.01051,0.98437,4.94297,0.63184,0.000214565,0.000214565,0.000214565
3,25.7461,1.64813,3.07328,1.16404,0.02572,0.86842,0.02495,0.01129,1.00285,4.95576,0.65666,0.000326799,0.000326799,0.000326799
4,34.7598,1.58555,2.47658,1.11861,0.02487,0.86842,0.02333,0.01053,0.98902,4.95273,0.65462,0.000436722,0.000436722,0.000436722
5,42.3473,1.52109,2.16968,1.03758,0.02281,0.81579,0.12027,0.05692,0.9201,5.82124,0.62391,0.000544336,0.000544336,0.000544336
6,50.2764,1.55458,1.74571,1.11693,0.02541,0.89474,0.18327,0.0936,0.9683,12.6923,0.65307,0.000649638,0.000649638,0.000649638
7,58.6049,1.55153,1.45118,1.08489,0.02541,0.89474,0.18327,0.0936,0.9683,12.6923,0.65307,0.00075263,0.00075263,0.00075263
8,66.5733,1.4133,1.4127,1.07113,0.25778,0.42105,0.22729,0.09209,1.02988,25.0537,0.7074,0.000853312,0.000853312,0.000853312
9,74.7738,1.51027,1.30387,1.11573,0.32513,0.68421,0.28956,0.10751,1.06156,78.6494,0.72797,0.000951684,0.000951684,0.000951684
10,82.9401,1.49642,1.25861,1.08145,0.32513,0.68421,0.28956,0.10751,1.06156,78.6494,0.72797,0.00104774,0.00104774,0.00104774
11,91.3204,1.50643,1.21098,1.08374,0.22895,0.60526,0.2154,0.08334,1.00749,112.037,0.69647,0.00114149,0.00114149,0.00114149
12,99.117,1.48393,1.23693,1.04861,0.22895,0.60526,0.2154,0.08334,1.00749,112.037,0.69647,0.00123293,0.00123293,0.00123293
13,107.399,1.46878,1.27349,1.08111,0.1416,0.33431,0.09923,0.03825,0.97795,50.1716,0.70811,0.00132206,0.00132206,0.00132206
14,115.281,1.44708,1.17255,1.0777,0.1416,0.33431,0.09923,0.03825,0.97795,50.1716,0.70811,0.00140888,0.00140888,0.00140888
15,123.382,1.38646,1.12938,1.03942,0.1238,0.26316,0.11773,0.04566,1.00405,8.19636,0.72398,0.00143595,0.00143595,0.00143595
16,131.474,1.52284,1.2761,1.03931,0.1238,0.26316,0.11773,0.04566,1.00405,8.19636,0.72398,0.00141945,0.00141945,0.00141945
17,139.406,1.46447,1.18389,1.05392,0.08606,0.23684,0.08399,0.03314,1.01264,10.0131,0.71834,0.00140295,0.00140295,0.00140295
18,147.286,1.42961,1.31302,1.09123,0.08606,0.23684,0.08399,0.03314,1.01264,10.0131,0.71834,0.00138644,0.00138644,0.00138644
19,155.463,1.37748,1.15275,1.02017,0.08606,0.23684,0.08399,0.03314,1.01264,10.0131,0.71834,0.00136994,0.00136994,0.00136994
20,163.422,1.33655,1.02755,1.04274,0.00637,0.02632,0.00648,0.0026,1.01719,29.1682,0.7405,0.00135344,0.00135344,0.00135344
21,171.592,1.28429,1.06698,1.02687,0.00637,0.02632,0.00648,0.0026,1.01719,29.1682,0.7405,0.00133693,0.00133693,0.00133693
22,179.743,1.27475,1.00776,1.01027,0.01747,0.73684,0.01761,0.00686,0.99881,96.8166,0.71171,0.00132043,0.00132043,0.00132043
23,188.217,1.30868,1.0095,0.98615,0.01747,0.73684,0.01761,0.00686,0.99881,96.8166,0.71171,0.00130393,0.00130393,0.00130393
24,196.615,1.30797,1.00591,1.00557,0.11915,0.34211,0.07916,0.02716,1.07469,141.972,0.72314,0.00128742,0.00128742,0.00128742
25,205.244,1.30683,1.00104,1.04777,0.11915,0.34211,0.07916,0.02716,1.07469,141.972,0.72314,0.00127092,0.00127092,0.00127092
26,214.635,1.42762,1.11215,1.03624,0.19899,0.60526,0.17651,0.07026,1.02353,166.592,0.67919,0.00125442,0.00125442,0.00125442
27,224.701,1.26091,0.98881,1.03872,0.19899,0.60526,0.17651,0.07026,1.02353,166.592,0.67919,0.00123791,0.00123791,0.00123791
28,234.955,1.31268,0.98597,1.0675,0.19899,0.60526,0.17651,0.07026,1.02353,166.592,0.67919,0.00122141,0.00122141,0.00122141
29,245.19,1.29407,0.90154,1.02248,0.19655,0.57895,0.18432,0.07704,0.95282,116.251,0.63808,0.00120491,0.00120491,0.00120491
