epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,395.709,1.11725,0.81254,0.99714,0.72146,0.95833,0.78138,0.50682,0.59705,55.0672,0.542,0.000990365,0.000990365,0.000990365
43,405.903,1.15361,0.8325,0.99904,0.72146,0.95833,0.78138,0.50682,0.59705,55.0672,0.542,0.000973861,0.000973861,0.000973861
44,415.969,1.12418,0.82381,0.98813,0.72146,0.95833,0.78138,0.50682,0.59705,55.0672,0.542,0.000957358,0.000957358,0.000957358
45,426.071,1.09292,0.83789,0.99873,0.73215,0.94912,0.76695,0.49596,0.60018,52.5361,0.5356,0.000940855,0.000940855,0.000940855
46,436.494,1.11976,0.84254,0.99782,0.73215,0.94912,0.76695,0.49596,0.60018,52.5361,0.5356,0.000924352,0.000924352,0.000924352
47,446.706,1.07701,0.81044,0.99864,0.73578,0.97222,0.76681,0.50405,0.62319,54.751,0.54681,0.000907848,0.000907848,0.000907848
48,457.228,1.07523,0.78007,0.99273,0.73578,0.97222,0.76681,0.50405,0.62319,54.751,0.54681,0.000891345,0.000891345,0.000891345
49,467.887,1.09236,0.76618,0.98667,0.72862,0.96955,0.84524,0.55652,0.62539,59.7203,0.55953,0.000874842,0.000874842,0.000874842
50,478.946,1.10083,0.82586,1.05273,0.72862,0.96955,0.84524,0.55652,0.62539,59.7203,0.55953,0.000858338,0.000858338,0.000858338
51,489.968,1.06066,0.74254,1.01369,0.72862,0.96955,0.84524,0.55652,0.62539,59.7203,0.55953,0.000841835,0.000841835,0.000841835
52,499.603,1.11207,0.76806,1.0202,0.72508,0.97222,0.83721,0.55771,0.60268,60.8926,0.55085,0.000825332,0.000825332,0.000825332
53,509.475,1.0647,0.74879,0.96077,0.72508,0.97222,0.83721,0.55771,0.60268,60.8926,0.55085,0.000808828,0.000808828,0.000808828
54,519.764,1.07556,0.78121,0.99293,0.73478,0.98611,0.79698,0.53232,0.59348,55.1254,0.54051,0.000792325,0.000792325,0.000792325
55,529.642,1.00517,0.74308,0.98705,0.73478,0.98611,0.79698,0.53232,0.59348,55.1254,0.54051,0.000775822,0.000775822,0.000775822
56,539.675,1.0573,0.77625,1.01851,0.73148,0.98372,0.82279,0.557,0.58671,54.5387,0.53408,0.000759318,0.000759318,0.000759318
57,549.702,1.06158,0.74751,1.00993,0.73148,0.98372,0.82279,0.557,0.58671,54.5387,0.53408,0.000742815,0.000742815,0.000742815
58,560.046,1.04307,0.73886,0.9697,0.7432,0.95833,0.85229,0.57575,0.59336,57.8204,0.53803,0.000726312,0.000726312,0.000726312
59,571.749,1.07043,0.72896,0.97624,0.7432,0.95833,0.85229,0.57575,0.59336,57.8204,0.53803,0.000709809,0.000709809,0.000709809
60,583.696,1.09728,0.75674,0.99401,0.7432,0.95833,0.85229,0.57575,0.59336,57.8204,0.53803,0.000693305,0.000693305,0.000693305
61,596.836,1.01473,0.69941,0.9694,0.72161,0.98611,0.81515,0.54357,0.58976,61.33,0.52911,0.000676802,0.000676802,0.000676802
62,608.379,1.05385,0.74484,0.94648,0.72161,0.98611,0.81515,0.54357,0.58976,61.33,0.52911,0.000660299,0.000660299,0.000660299
63,621.906,1.06224,0.7345,0.98823,0.72234,0.98611,0.80135,0.53409,0.58135,58.3101,0.52042,0.000643795,0.000643795,0.000643795
64,635.375,1.01623,0.7088,0.9835,0.72234,0.98611,0.80135,0.53409,0.58135,58.3101,0.52042,0.000627292,0.000627292,0.000627292
65,647.152,0.96792,0.71775,0.99,0.72239,0.98611,0.81259,0.54415,0.58704,54.0551,0.5209,0.000610789,0.000610789,0.000610789
66,658.444,1.05806,0.77397,0.98464,0.72239,0.98611,0.81259,0.54415,0.58704,54.0551,0.5209,0.000594286,0.000594286,0.000594286
67,670.364,1.03432,0.73623,0.97742,0.72239,0.98611,0.81259,0.54415,0.58704,54.0551,0.5209,0.000577782,0.000577782,0.000577782
68,682.049,1.01082,0.68752,0.95144,0.72832,0.96812,0.80756,0.53959,0.58482,55.1638,0.5234,0.000561279,0.000561279,0.000561279
69,693.808,1.04835,0.71021,0.98836,0.72832,0.96812,0.80756,0.53959,0.58482,55.1638,0.5234,0.000544776,0.000544776,0.000544776
70,705.949,1.0181,0.69106,0.97708,0.73283,0.95833,0.78266,0.52311,0.58179,62.8004,0.52426,0.000528272,0.000528272,0.000528272
71,717.733,1.03051,0.72095,0.96496,0.73283,0.95833,0.78266,0.52311,0.58179,62.8004,0.52426,0.000511769,0.000511769,0.000511769
72,729.395,1.03125,0.7208,0.96183,0.73085,0.95833,0.77136,0.51268,0.58491,72.0206,0.52579,0.000495266,0.000495266,0.000495266
73,740.902,1.02723,0.70526,0.96363,0.73085,0.95833,0.77136,0.51268,0.58491,72.0206,0.52579,0.000478762,0.000478762,0.000478762
74,752.327,1.02092,0.70212,0.95163,0.73916,0.98397,0.79544,0.52839,0.58826,75.0967,0.52545,0.000462259,0.000462259,0.000462259
75,764.864,1.01329,0.64384,0.95343,0.73916,0.98397,0.79544,0.52839,0.58826,75.0967,0.52545,0.000445756,0.000445756,0.000445756
76,777.908,1.01621,0.69773,0.98621,0.73916,0.98397,0.79544,0.52839,0.58826,75.0967,0.52545,0.000429253,0.000429253,0.000429253
77,790.427,0.98065,0.69549,0.94073,0.73756,0.98611,0.82526,0.55323,0.58139,70.8345,0.52143,0.000412749,0.000412749,0.000412749
78,802.538,0.99271,0.6769,0.97689,0.73756,0.98611,0.82526,0.55323,0.58139,70.8345,0.52143,0.000396246,0.000396246,0.000396246
