epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0284,2.00335,3.92862,1.4693,0.02458,0.48437,0.0187,0.00779,1.56245,3.7599,1.37061,0.00013336,0.00013336,0.00013336
2,23.9643,1.70547,3.38415,1.23687,0.04199,0.81915,0.04139,0.0246,1.29489,3.45249,1.08623,0.000280584,0.000280584,0.000280584
3,36.8312,1.70301,2.85363,1.17522,0.04125,0.8103,0.03906,0.02244,1.29928,3.31015,1.07867,0.000424838,0.000424838,0.000424838
4,48.128,1.44875,2.15473,1.09611,0.04306,0.83803,0.55023,0.32511,1.28105,2.71419,1.01383,0.000566122,0.000566122,0.000566122
5,59.8358,1.48043,1.75694,1.10107,0.68369,0.5712,0.61325,0.33916,1.35034,2.19285,1.08323,0.000704434,0.000704434,0.000704434
6,71.8279,1.27859,8.6057,0.95699,0.6986,0.69313,0.63865,0.3847,1.45225,1.70641,1.17186,0.000839776,0.000839776,0.000839776
7,83.8852,1.57774,1.62667,1.09561,0.60046,0.69169,0.61987,0.35797,1.55062,1.64339,1.16205,0.000972148,0.000972148,0.000972148
8,95.7376,1.53773,1.3871,1.14164,0.61022,0.74942,0.64062,0.33861,1.71193,1.60345,1.2082,0.00110155,0.00110155,0.00110155
9,107.657,1.45421,1.47599,1.0743,0.61022,0.74942,0.64062,0.33861,1.71193,1.60345,1.2082,0.00122798,0.00122798,0.00122798
10,119.645,1.38202,1.36558,1.06838,0.59361,0.7173,0.64222,0.34162,1.7246,1.46125,1.23571,0.00135144,0.00135144,0.00135144
11,131.41,1.52285,1.50658,1.12208,0.59361,0.7173,0.64222,0.34162,1.7246,1.46125,1.23571,0.00147193,0.00147193,0.00147193
12,143.678,1.45184,1.32144,1.09573,0.67611,0.67,0.6807,0.38706,1.595,1.46185,1.20984,0.00148546,0.00148546,0.00148546
13,156.015,1.44498,1.30865,1.07094,0.67611,0.67,0.6807,0.38706,1.595,1.46185,1.20984,0.00146896,0.00146896,0.00146896
14,168.116,1.38279,1.21357,1.03018,0.62988,0.63989,0.6467,0.36328,1.57865,1.88903,1.2697,0.00145246,0.00145246,0.00145246
15,180.324,1.35695,1.19555,1.06723,0.66911,0.77028,0.66455,0.403,1.35794,1.48269,1.12052,0.00143595,0.00143595,0.00143595
16,193.607,1.33619,1.13721,1.03926,0.66911,0.77028,0.66455,0.403,1.35794,1.48269,1.12052,0.00141945,0.00141945,0.00141945
17,205.449,1.28804,1.13277,1.07856,0.65128,0.82249,0.67067,0.4205,1.30777,1.25793,1.08707,0.00140295,0.00140295,0.00140295
18,218.253,1.24173,1.14071,1.02912,0.65128,0.82249,0.67067,0.4205,1.30777,1.25793,1.08707,0.00138644,0.00138644,0.00138644
19,230.71,1.33968,1.21673,1.05001,0.70483,0.88464,0.79223,0.50498,1.28778,1.12624,1.06944,0.00136994,0.00136994,0.00136994
20,245.93,1.28132,1.06778,1.03429,0.70483,0.88464,0.79223,0.50498,1.28778,1.12624,1.06944,0.00135344,0.00135344,0.00135344
21,260.509,1.3688,1.05522,1.05859,0.71963,0.88392,0.82667,0.53834,1.24684,1.16516,1.0736,0.00133693,0.00133693,0.00133693
22,274.223,1.25439,1.33053,1.02206,0.74473,0.88276,0.83948,0.54226,1.21954,1.02762,1.06177,0.00132043,0.00132043,0.00132043
23,289.265,1.33508,1.12626,1.08145,0.74473,0.88276,0.83948,0.54226,1.21954,1.02762,1.06177,0.00130393,0.00130393,0.00130393
24,302.556,1.27056,1.0622,1.0316,0.78371,0.85763,0.84958,0.55828,1.26494,0.98918,1.07222,0.00128742,0.00128742,0.00128742
25,317.717,1.34033,1.0079,1.06786,0.78371,0.85763,0.84958,0.55828,1.26494,0.98918,1.07222,0.00127092,0.00127092,0.00127092
26,332.247,1.23207,0.9948,1.02316,0.83851,0.82033,0.86017,0.57545,1.2064,0.89666,1.068,0.00125442,0.00125442,0.00125442
27,348.38,1.24972,0.94671,1.01768,0.83851,0.82033,0.86017,0.57545,1.2064,0.89666,1.068,0.00123791,0.00123791,0.00123791
28,363.031,1.26489,0.92416,1.01282,0.8212,0.83035,0.85821,0.56134,1.22049,0.86731,1.08245,0.00122141,0.00122141,0.00122141
29,377.161,1.2591,1.02423,1.0715,0.8212,0.83035,0.85821,0.56134,1.22049,0.86731,1.08245,0.00120491,0.00120491,0.00120491
30,389.619,1.30517,1.07331,1.08779,0.80861,0.82593,0.85818,0.56943,1.20834,0.86069,1.07155,0.0011884,0.0011884,0.0011884
31,402.717,1.29029,0.94539,1.05539,0.7933,0.85309,0.84829,0.55194,1.21648,0.89129,1.07095,0.0011719,0.0011719,0.0011719
32,415.864,1.22297,0.90097,1.00307,0.7933,0.85309,0.84829,0.55194,1.21648,0.89129,1.07095,0.0011554,0.0011554,0.0011554
33,428.871,1.36902,7.71504,1.12978,0.81317,0.83167,0.84586,0.55125,1.19124,0.91674,1.06354,0.00113889,0.00113889,0.00113889
34,442.404,1.24276,0.99362,0.99459,0.81317,0.83167,0.84586,0.55125,1.19124,0.91674,1.06354,0.00112239,0.00112239,0.00112239
35,455.593,1.33173,1.04527,1.04193,0.80447,0.83124,0.83699,0.54991,1.21139,1.11441,1.04532,0.00110589,0.00110589,0.00110589
36,468.906,1.24775,1.12229,1.0286,0.80447,0.83124,0.83699,0.54991,1.21139,1.11441,1.04532,0.00108938,0.00108938,0.00108938
37,482.29,1.28929,1.13182,1.04064,0.77363,0.86821,0.8316,0.55946,1.17616,1.16199,1.02632,0.00107288,0.00107288,0.00107288
38,495.857,1.16672,1.19067,1.01946,0.80148,0.8652,0.8557,0.58086,1.14703,1.02265,1.02795,0.00105638,0.00105638,0.00105638
39,509.959,1.21527,1.04587,1.02325,0.80148,0.8652,0.8557,0.58086,1.14703,1.02265,1.02795,0.00103987,0.00103987,0.00103987
40,524.314,1.198,1.07088,1.02357,0.84398,0.85989,0.88064,0.58326,1.17424,0.89079,1.05132,0.00102337,0.00102337,0.00102337
41,537.87,1.25215,1.06337,1.03575,0.84398,0.85989,0.88064,0.58326,1.17424,0.89079,1.05132,0.00100687,0.00100687,0.00100687
