epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.08,1.85893,3.76527,1.28418,0.03568,0.72332,0.03715,0.01802,1.52258,3.69439,1.21611,0.00021671,0.00021671,0.00021671
2,39.6919,1.60783,2.77277,1.1452,0.03649,0.77014,0.08962,0.04121,1.35453,3.34338,1.047,0.000445634,0.000445634,0.000445634
3,60.7851,1.53189,2.04443,1.08382,0.87385,0.37805,0.48741,0.26667,1.41556,2.3067,1.08092,0.000669937,0.000669937,0.000669937
4,80.773,1.45121,1.56471,1.05304,0.557,0.7295,0.66332,0.38727,1.48454,1.82345,1.11875,0.00088962,0.00088962,0.00088962
5,100.797,1.49807,1.39004,1.07287,0.53555,0.77536,0.60214,0.36313,1.5344,1.45592,1.18184,0.00110468,0.00110468,0.00110468
6,121.547,1.53732,1.32021,1.11584,0.54569,0.77522,0.63276,0.3582,1.62014,1.6221,1.24093,0.00131512,0.00131512,0.00131512
7,142.194,1.54359,1.23217,1.0817,0.60666,0.82103,0.64544,0.40074,1.50087,1.49003,1.18881,0.00152094,0.00152094,0.00152094
8,163.295,1.48108,1.19619,1.088,0.64852,0.80807,0.68934,0.39408,1.6426,1.56882,1.23832,0.00155148,0.00155148,0.00155148
9,184.411,1.54799,1.20162,1.09634,0.62941,0.84844,0.69921,0.41682,1.58198,1.49553,1.19398,0.00153497,0.00153497,0.00153497
10,205.83,1.5967,1.20371,1.14316,0.64047,0.82205,0.70606,0.40349,1.64356,1.43359,1.18317,0.00151847,0.00151847,0.00151847
11,226.222,1.48434,1.46936,1.06508,0.6209,0.813,0.70488,0.44175,1.47514,1.45588,1.13467,0.00150197,0.00150197,0.00150197
12,249.105,1.47856,1.19751,1.02375,0.60372,0.80516,0.69463,0.40887,1.49745,1.48788,1.13962,0.00148546,0.00148546,0.00148546
13,270.894,1.44217,1.18239,1.10202,0.5945,0.87834,0.69367,0.44099,1.38298,1.3197,1.08344,0.00146896,0.00146896,0.00146896
14,291.717,1.41233,1.08113,1.03871,0.5945,0.87834,0.69367,0.44099,1.38298,1.3197,1.08344,0.00145246,0.00145246,0.00145246
15,314.226,1.50551,1.14946,1.13854,0.62869,0.90387,0.69313,0.43675,1.35598,1.39084,1.06088,0.00143595,0.00143595,0.00143595
16,336.743,1.3698,1.08242,1.03793,0.64877,0.90017,0.70142,0.44471,1.3274,1.32113,1.04681,0.00141945,0.00141945,0.00141945
17,359.602,1.32932,1.12225,1.05984,0.62201,0.88882,0.69096,0.43181,1.30782,1.30425,1.04463,0.00140295,0.00140295,0.00140295
18,381.289,1.4367,1.18721,1.08578,0.61265,0.89948,0.70077,0.4385,1.31059,1.28513,1.05624,0.00138644,0.00138644,0.00138644
19,404.308,1.34473,1.02988,1.0549,0.65367,0.92162,0.74112,0.46421,1.31157,1.20428,1.06064,0.00136994,0.00136994,0.00136994
20,427.383,1.34447,1.00955,1.04124,0.70012,0.86916,0.75461,0.47909,1.32699,1.15478,1.06967,0.00135344,0.00135344,0.00135344
21,450.162,1.40619,1.07362,1.05956,0.67388,0.85448,0.74416,0.48317,1.313,1.15215,1.06054,0.00133693,0.00133693,0.00133693
22,473.239,1.36674,1.01563,1.03858,0.67388,0.85448,0.74416,0.48317,1.313,1.15215,1.06054,0.00132043,0.00132043,0.00132043
23,495.681,1.28967,0.99352,1.00309,0.67553,0.87259,0.73472,0.48009,1.30166,1.18951,1.05448,0.00130393,0.00130393,0.00130393
24,519.177,1.30219,1.02405,0.99929,0.64134,0.90528,0.73366,0.47963,1.28962,1.16262,1.03784,0.00128742,0.00128742,0.00128742
25,543.887,1.33257,1.02127,1.00316,0.65255,0.94048,0.73854,0.45915,1.33484,1.11775,1.03822,0.00127092,0.00127092,0.00127092
26,567.037,1.33399,0.98369,1.01499,0.6623,0.95278,0.72887,0.46943,1.30516,1.09433,1.03825,0.00125442,0.00125442,0.00125442
27,591.19,1.27453,0.89923,1.00468,0.66594,0.95212,0.73835,0.4853,1.2929,1.10531,1.04194,0.00123791,0.00123791,0.00123791
28,617.303,1.28689,0.96515,1.01208,0.66633,0.93321,0.73497,0.48811,1.2693,1.11782,1.04375,0.00122141,0.00122141,0.00122141
29,645.6,1.18866,3.79419,0.92298,0.64082,0.92353,0.71642,0.46866,1.28324,1.16316,1.05107,0.00120491,0.00120491,0.00120491
30,671.169,1.27249,1.01932,1.0301,0.64082,0.92353,0.71642,0.46866,1.28324,1.16316,1.05107,0.0011884,0.0011884,0.0011884
31,697.769,1.20661,0.96307,0.98181,0.59608,0.8427,0.70049,0.45699,1.28013,1.22393,1.05009,0.0011719,0.0011719,0.0011719
32,723.466,1.25032,0.96598,0.99318,0.59281,0.86956,0.69508,0.46591,1.22164,1.22752,1.04146,0.0011554,0.0011554,0.0011554
33,749.808,1.24307,0.98048,1.02755,0.60027,0.8907,0.70162,0.46771,1.22626,1.22679,1.05587,0.00113889,0.00113889,0.00113889
34,776.528,1.26637,0.93247,0.99493,0.63114,0.93645,0.70224,0.45633,1.27969,1.18662,1.07802,0.00112239,0.00112239,0.00112239
35,803.928,1.31279,0.93106,1.02757,0.63105,0.92325,0.69644,0.46366,1.26741,1.14409,1.07693,0.00110589,0.00110589,0.00110589
36,831.966,1.28304,0.90105,1.02063,0.63992,0.93591,0.71076,0.46567,1.28031,1.07507,1.07339,0.00108938,0.00108938,0.00108938
37,862.808,1.26406,0.87108,0.9812,0.64635,0.91133,0.7142,0.47542,1.28825,1.05598,1.06646,0.00107288,0.00107288,0.00107288
38,890.369,1.27794,0.9865,0.98281,0.64635,0.91133,0.7142,0.47542,1.28825,1.05598,1.06646,0.00105638,0.00105638,0.00105638
39,918.155,1.22346,0.93436,0.98468,0.64431,0.9057,0.73575,0.49033,1.28182,1.09226,1.05883,0.00103987,0.00103987,0.00103987
40,947.583,1.26807,0.94187,0.99222,0.64102,0.89829,0.72719,0.48775,1.25279,1.15249,1.04436,0.00102337,0.00102337,0.00102337
41,975.525,1.20941,0.83505,0.97367,0.61287,0.89197,0.72477,0.49131,1.24687,1.18824,1.05157,0.00100687,0.00100687,0.00100687
42,1003.26,1.31267,0.8547,0.98893,0.61734,0.87205,0.72625,0.49355,1.25683,1.20193,1.06058,0.000990365,0.000990365,0.000990365
43,1031.87,1.27618,0.87852,0.99503,0.59837,0.88633,0.73107,0.49591,1.25866,1.20228,1.06722,0.000973861,0.000973861,0.000973861
44,1060.09,1.25901,0.85722,1.00859,0.60634,0.91146,0.74447,0.49099,1.31285,1.13934,1.08614,0.000957358,0.000957358,0.000957358
45,1091.9,1.26862,0.81771,0.98174,0.61766,0.93923,0.73363,0.49052,1.31681,1.0884,1.09205,0.000940855,0.000940855,0.000940855
46,1122.06,1.29064,0.83874,1.01712,0.61766,0.93923,0.73363,0.49052,1.31681,1.0884,1.09205,0.000924352,0.000924352,0.000924352
47,1149.4,1.2008,0.81728,0.99461,0.63147,0.94239,0.72313,0.49236,1.2678,1.10402,1.08764,0.000907848,0.000907848,0.000907848
48,1176.54,1.20693,0.84158,0.98125,0.64482,0.93882,0.71755,0.47388,1.28316,1.08841,1.09929,0.000891345,0.000891345,0.000891345
49,1203.92,1.21426,0.81664,0.99524,0.64825,0.93827,0.72548,0.47902,1.29188,1.11589,1.1073,0.000874842,0.000874842,0.000874842
50,1232.2,1.22405,0.87148,1.01012,0.65906,0.9297,0.7287,0.50285,1.25471,1.08268,1.10089,0.000858338,0.000858338,0.000858338
51,1261.07,1.16679,0.79254,0.9567,0.63501,0.94032,0.72983,0.50464,1.28321,1.08619,1.10827,0.000841835,0.000841835,0.000841835
52,1286.8,1.2191,0.83558,0.99486,0.63789,0.9371,0.72366,0.49664,1.30633,1.06722,1.11842,0.000825332,0.000825332,0.000825332
53,1314.17,1.27146,0.81711,1.01094,0.62534,0.93515,0.69934,0.48591,1.26973,1.04402,1.10299,0.000808828,0.000808828,0.000808828
