epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.432,2.02062,3.89861,1.46274,0.01083,0.17105,0.00641,0.00325,0.91021,4.94079,0.65232,0.00010002,0.00010002,0.00010002
2,18.0915,1.79206,3.59398,1.30923,0.04985,0.86842,0.04793,0.0247,0.83026,4.85275,0.5629,0.000214565,0.000214565,0.000214565
3,28.6094,1.66945,3.03892,1.16926,0.05385,0.94737,0.05613,0.02836,0.84381,4.87368,0.58698,0.000326799,0.000326799,0.000326799
4,38.843,1.65638,2.46083,1.14653,0.05326,0.93421,0.05265,0.02846,0.82417,4.87371,0.58393,0.000436722,0.000436722,0.000436722
5,50.1006,1.57184,2.15362,1.06148,0.92239,0.62557,0.79608,0.39585,0.83357,4.89215,0.58446,0.000544336,0.000544336,0.000544336
6,60.0963,1.61374,1.71447,1.14121,0.86616,0.68128,0.83087,0.4392,0.80401,6.78443,0.57442,0.000649638,0.000649638,0.000649638
7,69.5412,1.60172,1.44561,1.10693,0.86616,0.68128,0.83087,0.4392,0.80401,6.78443,0.57442,0.00075263,0.00075263,0.00075263
8,78.8668,1.4287,1.41212,1.07729,0.93497,0.71053,0.86849,0.41594,0.8665,27.574,0.62021,0.000853312,0.000853312,0.000853312
9,88.9291,1.56987,1.24045,1.14059,0.92409,0.80094,0.88742,0.39759,0.90239,111.249,0.63849,0.000951684,0.000951684,0.000951684
10,100.935,1.50309,1.21132,1.09942,0.92409,0.80094,0.88742,0.39759,0.90239,111.249,0.63849,0.00104774,0.00104774,0.00104774
11,119.492,1.55649,1.14814,1.11752,0.88537,0.91472,0.86923,0.4509,0.80142,172.562,0.59965,0.00114149,0.00114149,0.00114149
12,139.128,1.52403,1.16903,1.05942,0.88537,0.91472,0.86923,0.4509,0.80142,172.562,0.59965,0.00123293,0.00123293,0.00123293
13,156.559,1.49971,1.20529,1.09804,0.81384,0.92036,0.84247,0.43194,0.79827,101.256,0.60563,0.00132206,0.00132206,0.00132206
14,173.744,1.48359,1.12708,1.08944,0.81384,0.92036,0.84247,0.43194,0.79827,101.256,0.60563,0.00140888,0.00140888,0.00140888
15,190.707,1.45928,1.06202,1.07131,0.78117,0.89474,0.85971,0.41563,0.83472,22.8848,0.61484,0.00143595,0.00143595,0.00143595
16,210.248,1.61848,1.17507,1.05783,0.78117,0.89474,0.85971,0.41563,0.83472,22.8848,0.61484,0.00141945,0.00141945,0.00141945
17,230.721,1.55956,1.16605,1.08161,0.76034,0.93421,0.81124,0.42293,0.7911,18.085,0.59178,0.00140295,0.00140295,0.00140295
18,250.244,1.49785,1.19419,1.11694,0.76034,0.93421,0.81124,0.42293,0.7911,18.085,0.59178,0.00138644,0.00138644,0.00138644
19,261.73,1.44869,1.153,1.03421,0.76034,0.93421,0.81124,0.42293,0.7911,18.085,0.59178,0.00136994,0.00136994,0.00136994
20,272.178,1.45379,1.03841,1.06617,0.71293,0.91501,0.70609,0.37234,0.79558,28.7545,0.58733,0.00135344,0.00135344,0.00135344
21,282.539,1.37353,1.0707,1.04526,0.71293,0.91501,0.70609,0.37234,0.79558,28.7545,0.58733,0.00133693,0.00133693,0.00133693
22,293.2,1.35405,1.06019,1.02469,0.64556,0.93421,0.66805,0.36139,0.76752,87.6105,0.57617,0.00132043,0.00132043,0.00132043
23,303.456,1.4054,1.04984,1.00443,0.64556,0.93421,0.66805,0.36139,0.76752,87.6105,0.57617,0.00130393,0.00130393,0.00130393
24,313.192,1.38739,1.03542,1.02906,0.66076,0.96053,0.69732,0.33218,0.80717,149.216,0.58612,0.00128742,0.00128742,0.00128742
25,322.955,1.34689,1.02866,1.04458,0.66076,0.96053,0.69732,0.33218,0.80717,149.216,0.58612,0.00127092,0.00127092,0.00127092
26,332.698,1.43392,1.09237,1.03493,0.74352,0.95365,0.76859,0.42135,0.77115,169.372,0.57539,0.00125442,0.00125442,0.00125442
27,342.539,1.33053,0.96554,1.05683,0.74352,0.95365,0.76859,0.42135,0.77115,169.372,0.57539,0.00123791,0.00123791,0.00123791
28,353.484,1.35119,0.99337,1.06924,0.74352,0.95365,0.76859,0.42135,0.77115,169.372,0.57539,0.00122141,0.00122141,0.00122141
29,364.314,1.31682,0.9194,1.03962,0.77649,0.94737,0.82349,0.47725,0.75336,121.053,0.56892,0.00120491,0.00120491,0.00120491
30,375.88,1.44919,1.00447,1.06677,0.77649,0.94737,0.82349,0.47725,0.75336,121.053,0.56892,0.0011884,0.0011884,0.0011884
31,387.872,1.32007,0.92207,1.04747,0.7845,0.96053,0.84584,0.49769,0.74883,79.2992,0.56449,0.0011719,0.0011719,0.0011719
32,399.99,1.34358,0.94781,1.08255,0.7845,0.96053,0.84584,0.49769,0.74883,79.2992,0.56449,0.0011554,0.0011554,0.0011554
33,410.534,1.36288,0.90325,1.03718,0.77704,0.97368,0.82721,0.46907,0.76586,69.3382,0.56659,0.00113889,0.00113889,0.00113889
34,420.906,1.35567,0.87375,1.01593,0.77704,0.97368,0.82721,0.46907,0.76586,69.3382,0.56659,0.00112239,0.00112239,0.00112239
35,430.955,1.37731,0.93259,1.05721,0.77704,0.97368,0.82721,0.46907,0.76586,69.3382,0.56659,0.00110589,0.00110589,0.00110589
36,441.703,1.28758,0.87751,1.024,0.77788,0.96772,0.79687,0.44401,0.76231,73.9128,0.56145,0.00108938,0.00108938,0.00108938
37,452.985,1.28343,0.9507,1.02987,0.77788,0.96772,0.79687,0.44401,0.76231,73.9128,0.56145,0.00107288,0.00107288,0.00107288
38,464.203,1.3001,0.8684,1.04517,0.77832,0.97018,0.82797,0.47045,0.75419,81.8735,0.56112,0.00105638,0.00105638,0.00105638
39,476.189,1.32025,0.86618,1.00734,0.77832,0.97018,0.82797,0.47045,0.75419,81.8735,0.56112,0.00103987,0.00103987,0.00103987
40,487.831,1.29627,0.84017,1.0044,0.77659,0.96052,0.85575,0.49283,0.75029,85.8178,0.55999,0.00102337,0.00102337,0.00102337
41,500.624,1.29167,0.82511,0.99424,0.77659,0.96052,0.85575,0.49283,0.75029,85.8178,0.55999,0.00100687,0.00100687,0.00100687
42,512.138,1.25208,0.8374,1.002,0.77069,0.97292,0.87271,0.49004,0.76416,75.7973,0.56516,0.000990365,0.000990365,0.000990365
43,524.247,1.30845,0.85773,1.00783,0.77069,0.97292,0.87271,0.49004,0.76416,75.7973,0.56516,0.000973861,0.000973861,0.000973861
44,535.904,1.24087,0.85494,0.98716,0.77069,0.97292,0.87271,0.49004,0.76416,75.7973,0.56516,0.000957358,0.000957358,0.000957358
45,548.118,1.30197,0.88754,1.03032,0.8309,0.90515,0.8683,0.48931,0.77251,61.4936,0.56496,0.000940855,0.000940855,0.000940855
46,560.488,1.31076,0.88539,1.0223,0.8309,0.90515,0.8683,0.48931,0.77251,61.4936,0.56496,0.000924352,0.000924352,0.000924352
47,573.795,1.24586,0.86218,1.01002,0.76455,0.98273,0.86413,0.50118,0.75785,49.2027,0.55895,0.000907848,0.000907848,0.000907848
48,586.973,1.24083,0.83078,1.00058,0.76455,0.98273,0.86413,0.50118,0.75785,49.2027,0.55895,0.000891345,0.000891345,0.000891345
49,601.249,1.24054,0.81609,0.99786,0.77114,0.98684,0.87505,0.50636,0.74443,40.8305,0.55823,0.000874842,0.000874842,0.000874842
50,615.535,1.28905,0.87008,1.07452,0.77114,0.98684,0.87505,0.50636,0.74443,40.8305,0.55823,0.000858338,0.000858338,0.000858338
51,627.49,1.25166,0.79009,1.03255,0.77114,0.98684,0.87505,0.50636,0.74443,40.8305,0.55823,0.000841835,0.000841835,0.000841835
52,640.242,1.33063,0.81447,1.04678,0.7793,0.97368,0.8589,0.48513,0.75327,42.1279,0.562,0.000825332,0.000825332,0.000825332
53,651.868,1.31143,0.80992,0.97374,0.7793,0.97368,0.8589,0.48513,0.75327,42.1279,0.562,0.000808828,0.000808828,0.000808828
54,663.93,1.22931,0.83484,1.002,0.77933,0.97588,0.81166,0.45193,0.75931,44.3697,0.55663,0.000792325,0.000792325,0.000792325
55,675.599,1.20357,0.80058,1.01212,0.77933,0.97588,0.81166,0.45193,0.75931,44.3697,0.55663,0.000775822,0.000775822,0.000775822
56,687.209,1.24105,0.81622,1.04485,0.79508,0.97,0.79114,0.43458,0.75839,48.8947,0.55218,0.000759318,0.000759318,0.000759318
57,698.795,1.22532,0.79913,1.03775,0.79508,0.97,0.79114,0.43458,0.75839,48.8947,0.55218,0.000742815,0.000742815,0.000742815
58,710.404,1.24423,0.82265,1.00526,0.79617,0.97651,0.79366,0.43286,0.75279,55.0359,0.55012,0.000726312,0.000726312,0.000726312
59,722.926,1.25879,0.80577,0.99993,0.79617,0.97651,0.79366,0.43286,0.75279,55.0359,0.55012,0.000709809,0.000709809,0.000709809
60,735.613,1.31217,0.80629,1.01919,0.79617,0.97651,0.79366,0.43286,0.75279,55.0359,0.55012,0.000693305,0.000693305,0.000693305
61,748.265,1.20602,0.77342,0.99155,0.79676,0.98684,0.79366,0.43985,0.75021,66.8501,0.55094,0.000676802,0.000676802,0.000676802
62,761.353,1.25187,0.79499,0.96532,0.79676,0.98684,0.79366,0.43985,0.75021,66.8501,0.55094,0.000660299,0.000660299,0.000660299
63,774.36,1.27552,0.77795,1.03428,0.79727,0.98684,0.80339,0.45294,0.75625,74.5179,0.55685,0.000643795,0.000643795,0.000643795
64,786.566,1.17659,0.76588,1.01091,0.79727,0.98684,0.80339,0.45294,0.75625,74.5179,0.55685,0.000627292,0.000627292,0.000627292
65,799.137,1.14292,0.7502,1.02582,0.7944,0.97368,0.86044,0.49886,0.74296,76.3557,0.55828,0.000610789,0.000610789,0.000610789
66,811.959,1.28327,0.80354,1.026,0.7944,0.97368,0.86044,0.49886,0.74296,76.3557,0.55828,0.000594286,0.000594286,0.000594286
67,825.09,1.23334,0.76409,1.02449,0.7944,0.97368,0.86044,0.49886,0.74296,76.3557,0.55828,0.000577782,0.000577782,0.000577782
68,837.871,1.16154,0.73342,0.96709,0.77722,0.97368,0.86488,0.51572,0.72666,74.2563,0.55173,0.000561279,0.000561279,0.000561279
69,851.248,1.2557,0.78703,1.02761,0.77722,0.97368,0.86488,0.51572,0.72666,74.2563,0.55173,0.000544776,0.000544776,0.000544776
70,865.316,1.2116,0.74377,1.00962,0.77343,0.98818,0.86734,0.51438,0.72749,71.7194,0.54818,0.000528272,0.000528272,0.000528272
71,880.523,1.24152,0.77161,0.99658,0.77343,0.98818,0.86734,0.51438,0.72749,71.7194,0.54818,0.000511769,0.000511769,0.000511769
72,895.333,1.2438,0.79404,0.99667,0.78101,1,0.86313,0.50202,0.7275,70.3832,0.54382,0.000495266,0.000495266,0.000495266
73,907.534,1.23523,0.77793,0.98895,0.78101,1,0.86313,0.50202,0.7275,70.3832,0.54382,0.000478762,0.000478762,0.000478762
74,919.51,1.17785,0.76542,0.98131,0.77995,1,0.86123,0.50158,0.73262,69.6692,0.54311,0.000462259,0.000462259,0.000462259
75,932.516,1.14076,0.7133,0.96458,0.77995,1,0.86123,0.50158,0.73262,69.6692,0.54311,0.000445756,0.000445756,0.000445756
76,945.375,1.21359,0.75569,1.0144,0.77995,1,0.86123,0.50158,0.73262,69.6692,0.54311,0.000429253,0.000429253,0.000429253
77,958.71,1.14187,0.76711,0.9663,0.78213,0.99195,0.86219,0.49852,0.72561,68.4869,0.54369,0.000412749,0.000412749,0.000412749
78,971.157,1.1966,0.73863,1.00485,0.78213,0.99195,0.86219,0.49852,0.72561,68.4869,0.54369,0.000396246,0.000396246,0.000396246
79,983.696,1.16687,0.73698,0.96434,0.80368,0.96961,0.86348,0.50308,0.72164,72.5259,0.54467,0.000379743,0.000379743,0.000379743
80,995.892,1.15066,0.7085,0.98753,0.80368,0.96961,0.86348,0.50308,0.72164,72.5259,0.54467,0.000363239,0.000363239,0.000363239
81,1008.25,1.22435,0.73386,1.00515,0.78205,0.98684,0.8608,0.50033,0.71774,72.3719,0.54505,0.000346736,0.000346736,0.000346736
82,1020.37,1.15298,0.70217,0.94604,0.78205,0.98684,0.8608,0.50033,0.71774,72.3719,0.54505,0.000330233,0.000330233,0.000330233
83,1032.54,1.16723,0.7129,0.95466,0.78205,0.98684,0.8608,0.50033,0.71774,72.3719,0.54505,0.000313729,0.000313729,0.000313729
84,1045.07,1.14348,0.72227,0.97939,0.78786,0.97738,0.84933,0.49567,0.71715,71.1977,0.54263,0.000297226,0.000297226,0.000297226
85,1057.25,1.14239,0.70627,0.97492,0.78786,0.97738,0.84933,0.49567,0.71715,71.1977,0.54263,0.000280723,0.000280723,0.000280723
86,1070.07,1.17353,0.72422,0.99143,0.79599,0.97368,0.84047,0.49464,0.71964,70.0852,0.54373,0.00026422,0.00026422,0.00026422
87,1081.91,1.12641,0.72416,0.9875,0.79599,0.97368,0.84047,0.49464,0.71964,70.0852,0.54373,0.000247716,0.000247716,0.000247716
88,1094.16,1.14605,0.77236,1.0231,0.80401,0.9716,0.82989,0.48556,0.72498,76.674,0.54438,0.000231213,0.000231213,0.000231213
